code,current,name,gender,function,category,country_code,country,country_long,disciplines,events,birth_date
1930168,TRUE,RENARD Herve,Male,Head Coach,C,FRA,France,France,Football,Women,30-09-1968
1930169,TRUE,BONADEI Laurent,Male,Assistant Coach,C,FRA,France,France,Football,,03-11-1969
1930171,TRUE,BLAHIC Eric,Male,Assistant Coach,C,FRA,France,France,Football,,02-05-1965
1930172,TRUE,FOUACHE Gilles,Male,Goalkeeper Coach,C,FRA,France,France,Football,,09-11-1973
1930294,TRUE,MAMAYEV Nursultan,Male,Coach,C,KAZ,Kazakhstan,Kazakhstan,Taekwondo,,27-06-1993
1930295,TRUE,KIM Kwangsu,Male,Coach,C,KAZ,Kazakhstan,Kazakhstan,Taekwondo,,02-12-1972
1930296,TRUE,BESBAYEV Olzhas,Male,Coach,C,KAZ,Kazakhstan,Kazakhstan,Taekwondo,,16-12-1986
1930311,TRUE,SAGYNAYEV Kanat,Male,Coach,C,KAZ,Kazakhstan,Kazakhstan,Taekwondo,,09-11-1973
1930636,TRUE,DOBLER Mauro,Male,Goalkeeper Coach,C,ARG,Argentina,Argentina,Football,,
1930646,TRUE,ECHEVERRY Alex,Male,Assistant Coach,C,COL,Colombia,Colombia,Football,,
1930666,TRUE,PHIRI Yona,Male,Goalkeeper Coach,C,ZAM,Zambia,Zambia,Football,Women,27-04-1980
1930695,TRUE,GRAND'PIERRE Naomy Hope,Female,Coach,C,HAI,Haiti,Haiti,Artistic Gymnastics,,16-04-1997
1930765,TRUE,LAMBDIN Stephen,Male,Coach,C,USA,United States,United States of America,Taekwondo,,09-03-1988
1930922,TRUE,ABARCA Megan,Female,Coach,C,USA,United States,United States of America,Artistic Swimming,Duet,14-08-1990
1931463,TRUE,MWILA Florence,Female,Assistant Coach,C,ZAM,Zambia,Zambia,Football,Women,26-03-1986
1931488,TRUE,ELFAKHARANY Hany,Male,Assistant Coach,C,EGY,Egypt,Egypt,Handball,Men,06-04-1978
1931494,TRUE,SIERRA MENDEZ Jose Manuel,Male,Assistant Coach,C,EGY,Egypt,Egypt,Handball,Men,21-05-1978
1931502,TRUE,PASTOR GOMEZ Juan Carlos,Male,Head Coach,C,EGY,Egypt,Egypt,Handball,Men,18-05-1968
1931612,TRUE,VATKIN Vladimir,Male,Coach,C,KAZ,Kazakhstan,Kazakhstan,Artistic Gymnastics,,03-08-1959
1931614,TRUE,KURBANOV Khussanzhan,Male,Coach,C,KAZ,Kazakhstan,Kazakhstan,Artistic Gymnastics,,01-02-1961
1931616,TRUE,KENESSOV Sapargali,Male,Coach,C,KAZ,Kazakhstan,Kazakhstan,Artistic Gymnastics,,12-08-1992
1932162,TRUE,ALMAAZMI Abdalla,Male,Coach,C,PLE,Palestine,Palestine,Taekwondo,,27-01-1977
1932176,TRUE,RODRIGUEZ VAQUERO Jose Maria,Male,Head Coach,C,HUN,Hungary,Hungary,Handball,Men,05-01-1980
1932535,TRUE,VELASCO ENCINAS Miguel Angel,Male,Assistant Coach,C,HUN,Hungary,Hungary,Handball,Men,20-03-1984
1933104,TRUE,ZOLGHADRI Farzad,Male,Coach,C,BUL,Bulgaria,Bulgaria,Taekwondo,,09-05-1992
1933362,TRUE,GOLOVIN Vlagyimir Alekszandrovics,Male,Head Coach,C,HUN,Hungary,Hungary,Handball,Women,21-03-1970
1933372,TRUE,PIGNICZKI Krisztina,Female,Assistant Coach,C,HUN,Hungary,Hungary,Handball,Women,18-09-1975
1933474,TRUE,MASCHERANO Javier,Male,Head Coach,C,ARG,Argentina,Argentina,Football,Men,08-06-1984
1933569,TRUE,MARSIGLIA Angelo,Male,Head Coach,C,COL,Colombia,Colombia,Football,Women,20-12-1985
1933763,TRUE,RODRIGUEZ Lucas,Male,Assistant Coach,C,ARG,Argentina,Argentina,Football,,
1934022,TRUE,STILLITANO Leandro,Male,Assistant Coach,C,ARG,Argentina,Argentina,Football,,
1934443,TRUE,AGUILAR ESTRADA Eduardo,Male,Assistant Coach,C,ESP,Spain,Spain,Hockey,,06-12-1976
1934447,TRUE,CALDAS Maximiliano,Male,Head Coach,C,ESP,Spain,Spain,Hockey,,09-03-1973
1934451,TRUE,GARCIA CUENCA Carlos,Male,Head Coach,C,ESP,Spain,Spain,Hockey,,26-01-1973
1934452,TRUE,GAVILAN MORAL Diego Manuel,Male,Coach,C,ESP,Spain,Spain,Hockey,,30-11-1978
1934457,TRUE,GUTIERREZ ZULAICA Lorena,Female,Coach,C,ESP,Spain,Spain,Hockey,,27-08-1990
1934462,TRUE,IGLESIAS BILBAO Alejandro,Male,Assistant Coach,C,ESP,Spain,Spain,Hockey,,21-06-1980
